model_name,task,num_params,dataset,num_classes,num_epochs,initial_train_loss,final_train_loss,initial_val_loss,final_val_loss,initial_train_acc,final_train_acc,initial_val_acc,final_val_acc,overfitting,underfitting,near_random
TRM,regression,367,sums,,50,4.3341,0.4678,4.3856,0.5086,,,,,False,False,False
TRM no rec,regression,367,sums,,50,4.2711,0.61,4.0034,0.6419,,,,,False,False,False
MLP,regression,309,sums,,50,4.3153,0.0004,4.4066,0.0004,,,,,False,False,False
TRM,regression,367,sums,,20,4.2153,0.3966,4.2075,0.4313,,,,,False,False,False
TRM no rec,regression,367,sums,,20,4.2646,0.5563,4.2402,0.5189,,,,,False,False,False
MLP,regression,309,sums,,20,4.2381,0.0032,4.3503,0.0037,,,,,False,False,False
TRM,regression,367,sums,,10,4.2616,3.0336,4.2677,3.1635,,,,,False,False,False
TRM no rec,regression,367,sums,,10,4.4484,1.145,4.3658,1.0204,,,,,False,False,False
MLP,regression,309,sums,,10,4.1453,0.01,4.2603,0.0105,,,,,False,False,False
TRM all grad,regression,367,sums,,10,4.3051,1.602,4.2508,1.2999,,,,,False,False,False
TRM no act,regression,367,sums,,10,4.2654,0.6355,4.065,0.6089,,,,,False,False,False
TRM no sa,regression,221,sums,,10,4.4297,4.1389,4.2416,4.2433,,,,,False,True,False
TRM 4 sa,regression,367,sums,,10,4.1178,3.1198,3.9513,2.8367,,,,,False,False,False
TRM 4H2L,regression,367,sums,,10,4.1439,0.4706,4.2403,0.4296,,,,,False,False,False
TRM 2H4L,regression,367,sums,,10,4.1796,1.5851,4.3056,1.3325,,,,,False,False,False
TRM 4 blocks,regression,711,sums,,10,4.1547,0.7792,4.2752,0.8803,,,,,False,False,False
TRM,regression,367,diabetes1,,50,0.9646,0.579,0.8466,0.5794,,,,,False,False,False
TRM no rec,regression,367,diabetes1,,50,1.2511,0.5844,0.9478,0.6764,,,,,False,False,False
MLP,regression,309,diabetes1,,50,1.069,0.4786,0.8807,0.6234,,,,,True,False,False
TRM,regression,367,diabetes1,,20,1.9948,0.9591,1.6082,0.8078,,,,,False,False,False
TRM no rec,regression,367,diabetes1,,20,0.9276,0.7509,0.8296,0.8619,,,,,False,True,False
MLP,regression,309,diabetes1,,20,1.1616,0.6488,0.9609,0.6381,,,,,False,False,False
